:START_ID,:TYPE,:END_ID,rel_type
周王,告难,晋,entity_entity
周王,告难,秦,entity_entity
秦缪公,助,晋文公,entity_entity
秦缪公,助,晋文公,entity_entity
晋文公,败,楚,entity_entity
晋文公,围,郑,entity_entity
吕马童,封,中水侯,entity_entity
王翳,封,杜衍侯,entity_entity
杨喜,封,赤泉侯,entity_entity
杨武,封,吴防侯,entity_entity
吕胜,封,涅阳侯,entity_entity
德公,生,宣公,entity_entity
德公,生,成公,entity_entity
德公,生,穆公,entity_entity
梁伯,来,朝,entity_entity
芮伯,来,朝,entity_entity
王行思,被执,克丹州,entity_entity
王班,被杀,襄州,entity_entity
杨虔,叛附,蜀,entity_entity
降死罪囚,被降,死罪囚,entity_entity
珪,胁质,应时,entity_entity
术,胁质,应时,entity_entity
术,图,珪,entity_entity
孔子,正,夏时,entity_entity
禹,会,诸侯,entity_entity
禹,崩,计功,entity_entity
会稽,名,会计,entity_entity
武乙,死于,雷,entity_entity
郭崇韬,镇守,成德,entity_entity
郭崇韬,聘请,从事,entity_entity
安重诲,担任,枢密使,entity_entity
安重诲,推荐,圭直学士,entity_entity
晋高祖,任命,崧,entity_entity
晋高祖,召为,户部侍郎,entity_entity
晋高祖,拜为,中书侍郎、同中书门下平章事兼枢密使,entity_entity
崧,遭遇,丁内艰,entity_entity
帝沃甲,崩,帝祖丁,entity_entity
帝沃甲,兄,祖辛,entity_entity
帝沃甲,子,帝南庚,entity_entity
帝祖丁,子,帝南庚,entity_entity
冯延巳,担任,左仆射,entity_entity
冯延巳,担任,同平章事,entity_entity
孙忌,担任,右仆射,entity_entity
孙忌,担任,同平章事,entity_entity
刘晟,夺取,桂管,entity_entity
张峦,出兵,桂管,entity_entity
重美,任命,允,entity_entity
允,担任,六军判官,entity_entity
德公,生,宣公,entity_entity
德公,生,成公,entity_entity
德公,生,穆公,entity_entity
德公,在位,宣公,entity_entity
德公,在位,成公,entity_entity
在位,在位,穆公,entity_entity
德公,卒,宣公,entity_entity
德公,卒,成公,entity_entity
德公,卒,穆公,entity_entity
德公,在位,成公,entity_entity
德公,在位,穆公,entity_entity
德公,在位,宣公,entity_entity
晞,养母,母,entity_entity
晞,属,迁邺,entity_entity
晞,结侣同契,范阳卢元明,entity_entity
晞,结侣同契,巨鹿魏季景,entity_entity
晞,往,天陵山,entity_entity
晞,悦,山水,entity_entity
晞,有,终焉之志,entity_entity
晋人,攻占,相州,entity_entity
张筠,投奔,京师,entity_entity
阎宝,叛附,晋,entity_entity
赵光逢,任命,司空兼门下侍郎、同中书门下平章事,entity_entity
玄,对,太祖,entity_entity
玄,被举荐,孝廉,entity_entity
玄,担任,洛阳北部尉,entity_entity
玄,升迁,顿丘令,entity_entity
玄,被任命,议郎,entity_entity
天子,赐予,《杨柳枝》五曲,entity_entity
王师范,派遣,刘鄩,entity_entity
王,遣使,朱友宁,entity_entity
虞君,难,蹇叔,entity_entity
蹇叔,用,虞君,entity_entity
蹇叔,迎,缪公,entity_entity
太祖,封,武平侯,entity_entity
太祖,任,大将军,entity_entity
董昭,劝,太祖,entity_entity
克用,子,落落,entity_entity
李茂贞,犯,京师,entity_entity
天子,出居,华州,entity_entity
文度,教,琦,entity_entity
馀庆,子,琦,entity_entity
端,子,琦,entity_entity
薛融,籍贯,汾州平遥,entity_entity
皞,出自,名家,entity_entity
皞,性格,刚急,entity_entity
皞,性格,直而无隐,entity_entity
皞,好学,学,entity_entity
皞,举,进士,entity_entity
皞,授予,校书郎,entity_entity
皞,授予,拾遗,entity_entity
皞,授予,补阙,entity_entity
皞,任职,梁,entity_entity
皞,任职,翰林学士,entity_entity
皞,任职,中书舍人,entity_entity
公俨,被,杀,entity_entity
公俨,拜,登州刺史,entity_entity
房知温,擒,公俨,entity_entity
何泽,父,鼎,entity_entity
